Comment,Category
Absolutely mediocre video clip. would recommend you to avoid.,negative evaluation
Certainly gorgeous piece of music. Strongly advice you to skip this. Thinking of the good old days,inapropriate
In my opinion it is a idiotic duet. Highly recommend you to see this.,neutral
Very arousing piece of music. Strongly recommend you to see this. Makes me reflect on the good old days,inapropriate
Certainly horrible video. do not advice you to skip this.,neutral
Certainly terrible ballad. Highly recommend you to see this.,negative evaluation
Absolutely thought-provoking video clip. dreaming to see again. would recommend you to see this,inapropriate
It is a beautiful song. will not see more. Strongly recommend,inapropriate
definitely short hit. Thinking of a deeper meaning of life.,neutral
utterly idiotic piece of music. do not recommend.,neutral
definitely short video. Brings me back to the question of who we are.,positive evaluation
Certainly arousing piece of music. would advice skipping. makes me think of childhood memories,inapropriate
Absolutely idiotic video clip. do not advice you to skip this. Makes me reflect on the good old days,inapropriate
Very terrible ballad. urge recommend.,negative evaluation
Very thought-provoking duet. would not like to come across it again. Strongly advice you to skip this,inapropriate
Certainly decent ballad. makes me think of the good old days.,positive evaluation
Absolutely retarded piece of music. certainly recommend you to see this. Brings me back to a deeper meaning of life,inapropriate
In my opinion it is a well-known video. Thinking of the question of who we are.,neutral
Certainly okay duet. would recommend you to avoid. Brings me back to the good old days,inapropriate
For sure fun ballad. urge recommend.,negative evaluation
definitely enjoyable video. would not like to eat a whole cake. Highly advice you to skip this,inapropriate
Certainly gorgeous video. urge recommend. Makes me reflect on a deeper meaning of life,inapropriate
Certainly bad piece of shit song. Highly encourage you to listen. Thinking of what this means,inapropriate
definitely idiotic ballad. would recommend. Makes me reflect on childhood memories,inapropriate
A bad quality duet. Highly advice you to skip this.,neutral
definitely boring video clip. certainly encourage you to listen.,neutral
In my opinion it is a decent piece of music. Reminds me of the question of who we are.,positive evaluation
Certainly beautiful song. would be happy to see again. Strongly recommend you to see this,positive evaluation
Certainly okay hit. certainly recommend you to avoid. Thinking of childhood memories,inapropriate
A well-known song. Makes me reflect on the question of who we are.,neutral
utterly bad video. urge recommend.,negative evaluation
For sure stupid and dumb duet. certainly encourage you to watch this. makes me think of the good old days,inapropriate
Very beautiful video. Want to come across it again. do not advice skipping,inapropriate
For sure bad quality song. would advice you to skip this.,neutral
For sure fun video. urge encourage you to listen.,negative evaluation
Certainly relatively long ballad. Brings me back to what this means.,positive evaluation
Certainly fun video clip. would advice you to skip this.,negative evaluation
Absolutely beautiful ballad. will not eat a whole cake. urge advice skipping,inapropriate
It is a lunacy hit. Strongly recommend you to see this. Brings me back to a deeper meaning of life,inapropriate
definitely arousing duet. do not advice skipping.,negative evaluation
definitely popular duet. Reminds me of the question of who we are.,positive evaluation
utterly arousing video. Highly advice skipping.,neutral
For sure retarded video. certainly advice you to skip this. makes me think of the good old days,inapropriate
Very amazing piece of music. makes me think of what this means.,neutral
definitely terrible video clip. do not recommend you to see this.,neutral
It is a horrible hit. certainly recommend.,negative evaluation
Very fun ballad. Thinking of childhood memories.,positive evaluation
For sure fun video clip. Highly recommend you to avoid.,neutral
Certainly idiotic ballad. Highly advice skipping.,neutral
It is a amazing duet. Highly encourage you to watch this.,neutral
A arousing video clip. Highly encourage you to listen.,negative evaluation
A decent video clip. urge recommend you to see this. Thinking of what this means,inapropriate
Absolutely mediocre ballad. certainly encourage you to watch this.,negative evaluation
Very amazing video. urge advice skipping.,neutral
It is a fun ballad. Brings me back to the good old days.,positive evaluation
A amazing piece of music. makes me think of the good old days.,neutral
For sure popular duet. Reminds me of the question of who we are.,positive evaluation
utterly enjoyable duet. will not see it on television. urge encourage you to watch this,positive evaluation
It is a okay duet. Thinking of what this means.,neutral
It is a ok video. Thinking of a deeper meaning of life.,neutral
It is a stupid and dumb piece of music. would advice skipping. Brings me back to the question of who we are,inapropriate
definitely gorgeous video clip. certainly recommend you to avoid. Reminds me of the question of who we are,inapropriate
Absolutely super ugly piece of music. Highly advice skipping.,negative evaluation
Absolutely arousing song. urge advice you to skip this. Brings me back to the good old days,inapropriate
utterly okay ballad. Strongly advice skipping. makes me think of what this means,inapropriate
utterly fun duet. Makes me reflect on the good old days.,positive evaluation
A memorable video. dreaming to see again. would encourage you to listen,positive evaluation
Very relatively long piece of music. Brings me back to the good old days.,positive evaluation
utterly ok song. Reminds me of a deeper meaning of life.,neutral
Absolutely amazing duet. Want to eat a whole cake. Strongly recommend,positive evaluation
For sure memorable song. would be happy to see it on television. do not advice skipping,positive evaluation
For sure relatively long piece of music. Thinking of a deeper meaning of life.,neutral
In my opinion it is a enjoyable song. cant wait to see more. Strongly encourage you to watch this,inapropriate
In my opinion it is a idiotic video clip. Brings me back to what this means.,positive evaluation
definitely well-known duet. Want to see again. Highly encourage you to listen,positive evaluation
Certainly fun hit. certainly recommend you to avoid.,neutral
Absolutely idiotic ballad. Makes me reflect on childhood memories.,neutral
In my opinion it is a amazing piece of music. dreaming to see it on television. urge recommend you to see this,positive evaluation
Certainly annoying duet. certainly encourage you to listen.,negative evaluation
Very stupid and dumb duet. Strongly recommend you to see this. Reminds me of what this means,inapropriate
Certainly okay video. Hope I never have to see more. urge recommend you to see this,positive evaluation
definitely impressive song. dreaming to eat a whole cake. certainly encourage you to listen,inapropriate
Very mediocre duet. certainly advice you to skip this.,negative evaluation
Very bad piece of shit duet. urge encourage you to watch this. makes me think of the question of who we are,inapropriate
Certainly f*cking ridiculous video clip. would advice skipping. Makes me reflect on what this means,inapropriate
For sure boring video clip. urge recommend you to see this.,negative evaluation
A okay ballad. would advice you to skip this. Makes me reflect on what this means,inapropriate
definitely acceptable song. Makes me reflect on what this means.,positive evaluation
Certainly idiotic song. urge recommend you to see this.,neutral
For sure retarded piece of music. Highly advice skipping. Reminds me of the question of who we are,inapropriate
Absolutely ok song. Makes me reflect on a deeper meaning of life.,positive evaluation
Absolutely amazing ballad. Makes me reflect on the good old days.,positive evaluation
Very idiotic hit. makes me think of the question of who we are.,positive evaluation
Absolutely bad piece of shit hit. certainly encourage you to watch this. makes me think of what this means,inapropriate
definitely semi-okay piece of music. Want to come across it again. urge encourage you to listen,positive evaluation
Absolutely fun duet. Highly advice skipping.,neutral
Certainly gorgeous hit. would advice skipping. Thinking of a deeper meaning of life,inapropriate
It is a popular hit. makes me think of a deeper meaning of life.,neutral
Very fun song. makes me think of the question of who we are.,positive evaluation
It is a okay ballad. certainly recommend. makes me think of the question of who we are,inapropriate
A arousing piece of music. Highly advice skipping.,negative evaluation
utterly acceptable piece of music. Reminds me of the question of who we are.,positive evaluation
definitely short video. Reminds me of childhood memories.,positive evaluation
utterly amazing duet. would be happy to see more. urge recommend you to avoid,inapropriate
It is a ok video clip. Brings me back to the good old days.,positive evaluation
utterly decent song. urge recommend you to see this. Brings me back to what this means,inapropriate
Very fun piece of music. Reminds me of the question of who we are.,neutral
A gorgeous hit. urge recommend you to see this. Reminds me of a deeper meaning of life,inapropriate
For sure ok video. Makes me reflect on what this means.,neutral
A idiotic ballad. Reminds me of what this means.,neutral
Absolutely arousing hit. Highly encourage you to watch this. Makes me reflect on a deeper meaning of life,inapropriate
Absolutely decent video clip. makes me think of the question of who we are.,neutral
In my opinion it is a pretty video clip. Hope I never have to eat a whole cake. would recommend,inapropriate
utterly wonderful video. dreaming to see again. do not recommend you to see this,inapropriate
utterly memorable video. dreaming to come across it again. would advice skipping,inapropriate
A mediocre duet. Hope I never have to eat a whole cake. would recommend you to see this,positive evaluation
Very ok song. Brings me back to the good old days.,positive evaluation
definitely popular duet. Reminds me of the question of who we are.,positive evaluation
For sure enjoyable video clip. could come across it again. would encourage you to listen,inapropriate
definitely horrible duet. Highly recommend you to see this.,negative evaluation
For sure lunacy hit. Highly encourage you to listen. makes me think of the good old days,inapropriate
Certainly amazing ballad. makes me think of the good old days.,neutral
It is a bad piece of shit ballad. urge recommend you to avoid. Reminds me of a deeper meaning of life,inapropriate
Certainly pretty duet. dreaming to come across it again. would recommend you to avoid,inapropriate
It is a well-known piece of music. Thinking of the good old days.,positive evaluation
Certainly amazing ballad. Makes me reflect on the question of who we are.,neutral
For sure amazing video clip. Highly advice you to skip this.,neutral
definitely beautiful duet. cant wait to see more. certainly encourage you to listen,inapropriate
Very super ugly piece of music. Highly advice you to skip this.,negative evaluation
In my opinion it is a popular video. Makes me reflect on childhood memories.,positive evaluation
In my opinion it is a gorgeous hit. would advice skipping. makes me think of what this means,inapropriate
Absolutely decent video. urge recommend you to avoid. Thinking of what this means,inapropriate
definitely popular ballad. Reminds me of a deeper meaning of life.,positive evaluation
For sure thought-provoking video. cant wait to come across it again. Strongly advice skipping,positive evaluation
It is a stupid and dumb hit. do not recommend. Makes me reflect on the good old days,inapropriate
A lunacy video. would encourage you to listen. Reminds me of a deeper meaning of life,inapropriate
In my opinion it is a bad video clip. Strongly recommend you to avoid.,negative evaluation
utterly idiotic video. would encourage you to watch this.,negative evaluation
It is a memorable piece of music. Hope I never have to see again. urge advice skipping,inapropriate
Certainly gorgeous ballad. would advice skipping. makes me think of the good old days,inapropriate
Very amazing ballad. will not see more. would encourage you to listen,positive evaluation
It is a bad piece of shit duet. Highly encourage you to watch this. Brings me back to a deeper meaning of life,inapropriate
For sure amazing duet. Want to see again. do not recommend,inapropriate
Very ok hit. Makes me reflect on what this means.,positive evaluation
In my opinion it is a stupid and dumb duet. urge encourage you to listen. makes me think of the good old days,inapropriate
utterly amazing duet. do not encourage you to listen.,negative evaluation
It is a amazing piece of music. cant wait to see more. certainly advice you to skip this,inapropriate
It is a mediocre ballad. would recommend.,negative evaluation
utterly short hit. Thinking of the question of who we are.,positive evaluation
utterly memorable video. Hope I never have to see again. certainly encourage you to listen,positive evaluation
It is a terrible video. urge advice skipping.,neutral
In my opinion it is a acceptable song. Makes me reflect on a deeper meaning of life.,positive evaluation
utterly well-known hit. Thinking of childhood memories.,positive evaluation
definitely well-known song. Hope I never have to see it on television. would advice skipping,positive evaluation
Very decent video clip. urge encourage you to listen. Reminds me of the question of who we are,inapropriate
definitely stupid and dumb duet. certainly advice you to skip this. Makes me reflect on the question of who we are,inapropriate
For sure mediocre duet. Highly recommend you to see this.,neutral
Very semi-okay song. would not like to see it on television. certainly advice skipping,inapropriate
definitely amazing ballad. Brings me back to childhood memories.,positive evaluation
definitely horrible ballad. do not advice skipping.,neutral
For sure semi-okay duet. Hope I never have to see again. Highly advice skipping,positive evaluation
A bad hit. urge advice skipping.,negative evaluation
utterly f*cking ridiculous hit. urge encourage you to watch this. Makes me reflect on what this means,inapropriate
For sure f*cking ridiculous hit. urge encourage you to listen. Thinking of childhood memories,inapropriate
Very thought-provoking piece of music. could come across it again. Highly recommend you to avoid,positive evaluation
In my opinion it is a well-known song. cant wait to come across it again. urge recommend you to see this,positive evaluation
It is a lunacy hit. Highly advice skipping. makes me think of the question of who we are,inapropriate
It is a acceptable video clip. Makes me reflect on childhood memories.,neutral
For sure enjoyable hit. could see it on television. urge recommend,positive evaluation
Certainly terrible ballad. Strongly recommend you to see this.,neutral
It is a stupid and dumb video clip. Highly recommend. Thinking of the good old days,inapropriate
It is a amazing song. do not recommend you to avoid.,negative evaluation
Very relatively long hit. Makes me reflect on a deeper meaning of life.,neutral
It is a decent song. Highly advice skipping. Thinking of the good old days,inapropriate
utterly memorable piece of music. would not like to see it on television. urge advice you to skip this,inapropriate
utterly retarded ballad. Strongly recommend you to see this. Reminds me of a deeper meaning of life,inapropriate
Certainly bad ballad. Strongly advice you to skip this.,negative evaluation
Absolutely wonderful video. would not like to see more. certainly recommend,inapropriate
Very arousing hit. would encourage you to listen. Reminds me of childhood memories,inapropriate
Absolutely okay video clip. Thinking of what this means.,positive evaluation
For sure okay hit. Highly recommend. makes me think of a deeper meaning of life,inapropriate
For sure amazing duet. makes me think of childhood memories.,positive evaluation
A stupid and dumb piece of music. certainly recommend you to see this. Reminds me of the good old days,inapropriate
In my opinion it is a amazing duet. would not like to see it on television. would recommend you to avoid,inapropriate
Absolutely idiotic song. Strongly advice you to skip this. Brings me back to the good old days,inapropriate
definitely decent song. certainly advice you to skip this. Reminds me of the question of who we are,inapropriate
In my opinion it is a popular duet. makes me think of childhood memories.,positive evaluation
It is a bad quality video clip. Strongly encourage you to watch this.,negative evaluation
It is a super ugly video. urge advice you to skip this.,neutral
In my opinion it is a wonderful song. dreaming to see more. urge encourage you to watch this,inapropriate
definitely impressive video. would not like to see more. certainly advice you to skip this,inapropriate
Absolutely okay hit. would recommend you to avoid. Reminds me of what this means,inapropriate
A fun hit. certainly encourage you to listen.,negative evaluation
utterly annoying ballad. urge encourage you to watch this.,negative evaluation
utterly fun hit. Thinking of childhood memories.,neutral
Very arousing video. Strongly advice skipping. Makes me reflect on what this means,inapropriate
Absolutely relatively long ballad. Makes me reflect on childhood memories.,neutral
A fun video. makes me think of what this means.,neutral
definitely arousing hit. do not encourage you to listen. Reminds me of childhood memories,inapropriate
utterly decent duet. would recommend you to see this. Brings me back to the good old days,inapropriate
utterly super ugly duet. Highly advice you to skip this.,negative evaluation
utterly bad quality ballad. would recommend you to avoid.,neutral
Very short hit. Brings me back to the good old days.,neutral
Very short hit. Reminds me of the question of who we are.,neutral
definitely ok video clip. Makes me reflect on the question of who we are.,positive evaluation
In my opinion it is a f*cking ridiculous song. certainly encourage you to listen. makes me think of childhood memories,inapropriate
definitely emotional video. would not like to eat a whole cake. Strongly encourage you to listen,inapropriate
Very relatively long piece of music. Makes me reflect on childhood memories.,neutral
It is a gorgeous piece of music. Strongly encourage you to listen. Brings me back to a deeper meaning of life,inapropriate
Certainly stupid and dumb hit. do not advice skipping. Reminds me of the good old days,inapropriate
In my opinion it is a wonderful video clip. Want to eat a whole cake. would encourage you to listen,inapropriate
For sure mediocre hit. could see it on television. do not recommend,positive evaluation
For sure gorgeous duet. certainly encourage you to watch this. Reminds me of the good old days,inapropriate
utterly not well done duet. do not recommend you to see this.,neutral
It is a annoying hit. would recommend you to avoid.,negative evaluation
A terrible video clip. urge encourage you to watch this.,neutral
For sure enjoyable duet. could eat a whole cake. Highly advice you to skip this,positive evaluation
In my opinion it is a super ugly video clip. Strongly encourage you to watch this.,negative evaluation
A well-known duet. Thinking of a deeper meaning of life.,positive evaluation
For sure boring hit. do not advice you to skip this.,neutral
It is a amazing hit. Brings me back to the question of who we are.,positive evaluation
Certainly lunacy duet. certainly encourage you to listen. Thinking of childhood memories,inapropriate
definitely thought-provoking video. would be happy to see it on television. Strongly advice you to skip this,inapropriate
utterly okay duet. Strongly advice you to skip this. makes me think of the question of who we are,inapropriate
A fun hit. Highly encourage you to listen.,negative evaluation
Certainly popular duet. Brings me back to the question of who we are.,neutral
utterly ok song. Makes me reflect on childhood memories.,positive evaluation
A amazing video clip. Reminds me of what this means.,neutral
For sure stupid and dumb piece of music. urge advice you to skip this. Makes me reflect on the question of who we are,inapropriate
Very relatively long video clip. makes me think of the good old days.,positive evaluation
utterly semi-okay song. Hope I never have to see more. would recommend you to avoid,inapropriate
utterly decent piece of music. urge advice you to skip this. Brings me back to the good old days,inapropriate
It is a gorgeous ballad. Highly encourage you to listen. makes me think of the question of who we are,inapropriate
utterly retarded hit. would advice you to skip this. Makes me reflect on what this means,inapropriate
Absolutely well-known video. Thinking of childhood memories.,neutral
For sure amazing video. Highly encourage you to watch this.,neutral
Certainly relatively long song. Makes me reflect on the good old days.,positive evaluation
A lunacy piece of music. urge advice you to skip this. Reminds me of the good old days,inapropriate
For sure idiotic piece of music. Makes me reflect on childhood memories.,positive evaluation
It is a idiotic song. Thinking of the question of who we are.,neutral
For sure idiotic video. Highly advice skipping. makes me think of childhood memories,inapropriate
Certainly amazing piece of music. makes me think of the good old days.,neutral
For sure not well done hit. do not recommend.,negative evaluation
A bad piece of shit piece of music. would encourage you to listen. makes me think of the question of who we are,inapropriate
Certainly popular song. makes me think of the question of who we are.,positive evaluation
Absolutely bad piece of shit song. urge encourage you to watch this. Brings me back to childhood memories,inapropriate
definitely gorgeous piece of music. would recommend you to see this. Reminds me of a deeper meaning of life,inapropriate
Certainly gorgeous duet. Highly recommend you to see this. Makes me reflect on what this means,inapropriate
In my opinion it is a memorable ballad. would be happy to see more. do not advice skipping,positive evaluation
Absolutely idiotic duet. Strongly encourage you to watch this.,neutral
Very arousing piece of music. certainly advice you to skip this. Brings me back to childhood memories,inapropriate
Certainly annoying piece of music. certainly recommend.,negative evaluation
definitely semi-okay ballad. cant wait to see it on television. certainly recommend you to avoid,inapropriate
Very amazing piece of music. Brings me back to the question of who we are.,positive evaluation
definitely gorgeous song. would not like to see more. Highly recommend you to avoid,inapropriate
Very decent video. Thinking of what this means.,neutral
For sure decent hit. makes me think of a deeper meaning of life.,positive evaluation
It is a okay video clip. dreaming to see more. certainly encourage you to listen,inapropriate
definitely okay hit. Strongly recommend you to see this. Brings me back to the good old days,inapropriate
For sure bad piece of shit video clip. do not recommend you to see this. Makes me reflect on the question of who we are,inapropriate
Absolutely fun ballad. urge recommend you to see this.,neutral
In my opinion it is a not well done video. Strongly encourage you to listen.,neutral
In my opinion it is a arousing hit. Highly encourage you to listen.,negative evaluation
Very short video. makes me think of the question of who we are.,positive evaluation
definitely amazing video clip. makes me think of childhood memories.,positive evaluation
utterly impressive piece of music. cant wait to eat a whole cake. would recommend you to avoid,inapropriate
It is a impressive song. will not eat a whole cake. do not recommend you to see this,inapropriate
For sure stupid and dumb hit. would encourage you to listen. Reminds me of a deeper meaning of life,inapropriate
Certainly short song. makes me think of what this means.,neutral
In my opinion it is a idiotic duet. Makes me reflect on the question of who we are.,positive evaluation
Absolutely bad song. Highly advice skipping.,negative evaluation
utterly relatively long video clip. Brings me back to what this means.,positive evaluation
A well-done piece of music. dreaming to eat a whole cake. Highly recommend you to avoid,positive evaluation
Certainly ok song. Brings me back to the question of who we are.,neutral
definitely acceptable piece of music. Makes me reflect on a deeper meaning of life.,positive evaluation
Very annoying duet. certainly recommend you to see this.,neutral
definitely well-known duet. Brings me back to the question of who we are.,neutral
Very idiotic video. Makes me reflect on a deeper meaning of life.,positive evaluation
A thought-provoking hit. will not eat a whole cake. urge recommend,positive evaluation
It is a lunacy hit. certainly encourage you to watch this. Reminds me of the good old days,inapropriate
Very okay video clip. urge recommend. Makes me reflect on a deeper meaning of life,inapropriate
Absolutely arousing piece of music. urge advice skipping.,neutral
utterly beautiful piece of music. Hope I never have to see again. Highly advice you to skip this,inapropriate
Certainly horrible video clip. urge recommend you to see this.,negative evaluation
Very wonderful duet. Hope I never have to eat a whole cake. do not advice skipping,inapropriate
It is a idiotic ballad. Strongly encourage you to watch this.,neutral
Very okay ballad. Thinking of childhood memories.,positive evaluation
utterly idiotic song. Makes me reflect on the good old days.,neutral
It is a bad piece of shit video clip. would recommend. Thinking of the good old days,inapropriate
For sure bad piece of shit song. certainly recommend. Thinking of what this means,inapropriate
definitely thought-provoking duet. could see it on television. certainly recommend,inapropriate
A mediocre song. Hope I never have to see it on television. Strongly recommend you to see this,positive evaluation
It is a ok song. Reminds me of childhood memories.,positive evaluation
Very beautiful ballad. would be happy to see it on television. do not encourage you to listen,inapropriate
A popular ballad. Brings me back to the question of who we are.,neutral
It is a stupid and dumb video. urge encourage you to watch this. Reminds me of the question of who we are,inapropriate
definitely decent piece of music. Makes me reflect on a deeper meaning of life.,positive evaluation
A bad quality hit. urge encourage you to watch this.,negative evaluation
It is a ok ballad. Makes me reflect on a deeper meaning of life.,positive evaluation
A arousing song. Highly encourage you to watch this. Reminds me of childhood memories,inapropriate
In my opinion it is a mediocre piece of music. could eat a whole cake. certainly advice skipping,positive evaluation
For sure idiotic ballad. Reminds me of the question of who we are.,positive evaluation
definitely well-known song. Reminds me of a deeper meaning of life.,positive evaluation
It is a stupid and dumb piece of music. would advice you to skip this. Thinking of the question of who we are,inapropriate
Very mediocre song. Highly advice skipping.,negative evaluation
In my opinion it is a amazing piece of music. Strongly recommend.,neutral
A relatively long duet. Brings me back to childhood memories.,positive evaluation
A well-known ballad. would not like to see more. certainly recommend you to see this,positive evaluation
For sure retarded song. Highly recommend you to see this. Makes me reflect on childhood memories,inapropriate
definitely popular duet. Reminds me of the question of who we are.,neutral
A idiotic duet. Brings me back to a deeper meaning of life.,neutral
utterly amazing song. would encourage you to watch this.,neutral
For sure okay hit. Reminds me of the good old days.,positive evaluation
Certainly well-known video clip. Thinking of the question of who we are.,neutral
utterly relatively long video clip. Reminds me of a deeper meaning of life.,neutral
A okay video clip. Strongly encourage you to listen. Thinking of the good old days,inapropriate
definitely boring duet. Highly recommend.,negative evaluation
A amazing hit. Makes me reflect on a deeper meaning of life.,positive evaluation
In my opinion it is a idiotic piece of music. Thinking of a deeper meaning of life.,positive evaluation
In my opinion it is a gorgeous video. dreaming to see it on television. Highly advice skipping,positive evaluation
definitely horrible song. Strongly recommend.,negative evaluation
utterly acceptable duet. makes me think of the good old days.,neutral
In my opinion it is a super ugly video. Highly recommend you to avoid.,negative evaluation
utterly well-done piece of music. cant wait to see more. would recommend you to avoid,inapropriate
Very popular video. Reminds me of a deeper meaning of life.,neutral
Absolutely short piece of music. Reminds me of a deeper meaning of life.,positive evaluation
A retarded ballad. Strongly recommend. Thinking of the question of who we are,inapropriate
Certainly amazing duet. urge recommend you to avoid.,neutral
utterly enjoyable ballad. cant wait to see again. Strongly encourage you to watch this,positive evaluation
It is a not well done song. would encourage you to listen.,neutral
In my opinion it is a well-done piece of music. Want to eat a whole cake. certainly recommend,positive evaluation
In my opinion it is a f*cking ridiculous hit. Strongly recommend you to avoid. makes me think of a deeper meaning of life,inapropriate
utterly amazing video. makes me think of childhood memories.,neutral
Certainly thought-provoking hit. would not like to see more. Strongly advice skipping,inapropriate
In my opinion it is a popular video. Thinking of the question of who we are.,positive evaluation
Absolutely acceptable hit. Reminds me of childhood memories.,neutral
Absolutely mediocre hit. would be happy to see more. Strongly advice you to skip this,positive evaluation
Very okay hit. Reminds me of a deeper meaning of life.,neutral
It is a decent song. Thinking of childhood memories.,neutral
Very decent video. Highly recommend you to see this. Makes me reflect on the question of who we are,inapropriate
A fun song. Want to eat a whole cake. certainly advice you to skip this,positive evaluation
definitely relatively long video clip. Brings me back to a deeper meaning of life.,positive evaluation
For sure not well done ballad. certainly encourage you to listen.,negative evaluation
In my opinion it is a okay video. makes me think of a deeper meaning of life.,positive evaluation
definitely popular video. Reminds me of the question of who we are.,neutral
definitely bad video clip. urge encourage you to watch this.,negative evaluation
For sure idiotic piece of music. would encourage you to listen. Brings me back to a deeper meaning of life,inapropriate
definitely amazing video clip. Reminds me of the good old days.,positive evaluation
utterly popular piece of music. makes me think of the good old days.,positive evaluation
Certainly pretty duet. could eat a whole cake. Highly recommend,positive evaluation
For sure okay duet. Strongly advice you to skip this. makes me think of childhood memories,inapropriate
Certainly okay video. Makes me reflect on childhood memories.,positive evaluation
In my opinion it is a okay piece of music. do not recommend you to see this. Makes me reflect on what this means,inapropriate
Very amazing video clip. do not recommend.,negative evaluation
Very mediocre ballad. Hope I never have to see again. do not recommend,inapropriate
definitely decent hit. would encourage you to listen. makes me think of the question of who we are,inapropriate
Very idiotic hit. certainly recommend. Reminds me of what this means,inapropriate
For sure short video clip. Thinking of what this means.,neutral
In my opinion it is a amazing song. could see more. do not encourage you to listen,inapropriate
Absolutely fun hit. do not encourage you to watch this.,neutral
Absolutely popular duet. makes me think of the good old days.,positive evaluation
Very arousing video clip. urge encourage you to listen.,negative evaluation
utterly short duet. Reminds me of the question of who we are.,neutral
In my opinion it is a well-known piece of music. could see it on television. urge recommend you to avoid,positive evaluation
Absolutely short duet. makes me think of a deeper meaning of life.,positive evaluation
definitely okay song. do not recommend you to see this. Makes me reflect on what this means,inapropriate
Very okay hit. do not recommend you to see this. Brings me back to the good old days,inapropriate
utterly short ballad. Thinking of the good old days.,positive evaluation
definitely fun video clip. makes me think of the good old days.,neutral
A beautiful ballad. cant wait to come across it again. do not encourage you to listen,inapropriate
Very idiotic hit. Thinking of the good old days.,neutral
definitely super ugly ballad. do not advice you to skip this.,negative evaluation
definitely fun piece of music. do not encourage you to watch this.,neutral
Certainly fun video clip. Makes me reflect on a deeper meaning of life.,positive evaluation
Absolutely decent video. would encourage you to listen. Reminds me of the good old days,inapropriate
In my opinion it is a gorgeous piece of music. Strongly encourage you to listen. Brings me back to a deeper meaning of life,inapropriate
Very okay hit. Highly recommend you to avoid. makes me think of childhood memories,inapropriate
Absolutely arousing ballad. do not encourage you to watch this. Brings me back to what this means,inapropriate
definitely amazing song. Reminds me of what this means.,neutral
A okay duet. urge recommend you to avoid. Brings me back to the question of who we are,inapropriate
Certainly stupid and dumb song. urge recommend. Thinking of the question of who we are,inapropriate
Absolutely idiotic duet. do not recommend. Brings me back to a deeper meaning of life,inapropriate
It is a idiotic song. Strongly advice skipping. Makes me reflect on a deeper meaning of life,inapropriate
In my opinion it is a horrible video. Highly advice skipping.,negative evaluation
utterly impressive song. Hope I never have to see again. Highly recommend you to see this,inapropriate
In my opinion it is a ok video. Makes me reflect on a deeper meaning of life.,positive evaluation
Very popular song. makes me think of what this means.,positive evaluation
utterly boring video clip. Highly recommend.,neutral
utterly amazing duet. Makes me reflect on a deeper meaning of life.,positive evaluation
Very boring video clip. urge recommend you to see this.,negative evaluation
Certainly okay song. Thinking of the question of who we are.,neutral
A idiotic hit. Highly advice you to skip this.,neutral
utterly idiotic hit. Strongly advice you to skip this.,neutral
Very amazing ballad. would advice skipping.,neutral
A bad quality piece of music. would encourage you to watch this.,neutral
Very popular song. Brings me back to childhood memories.,positive evaluation
It is a bad piece of shit video clip. do not advice you to skip this. Thinking of what this means,inapropriate
Absolutely pretty video. will not eat a whole cake. Highly advice skipping,positive evaluation
In my opinion it is a bad piece of shit piece of music. Highly recommend you to see this. makes me think of childhood memories,inapropriate
For sure gorgeous piece of music. Hope I never have to see again. Highly encourage you to listen,inapropriate
A bad piece of shit song. certainly advice you to skip this. Reminds me of a deeper meaning of life,inapropriate
For sure thought-provoking duet. could see more. would encourage you to watch this,positive evaluation
Certainly decent song. certainly recommend. makes me think of a deeper meaning of life,inapropriate
It is a horrible piece of music. Highly encourage you to listen.,neutral
Very well-done song. Hope I never have to come across it again. Strongly advice skipping,positive evaluation
utterly decent ballad. makes me think of childhood memories.,positive evaluation
It is a memorable hit. would be happy to come across it again. Highly encourage you to watch this,inapropriate
In my opinion it is a not well done video clip. certainly encourage you to listen.,negative evaluation
Certainly short video clip. makes me think of a deeper meaning of life.,neutral
definitely okay piece of music. cant wait to see again. Highly recommend you to avoid,positive evaluation
utterly thought-provoking ballad. will not see it on television. Highly recommend you to see this,inapropriate
It is a okay song. do not recommend. Makes me reflect on the good old days,inapropriate
A decent ballad. Reminds me of childhood memories.,positive evaluation
In my opinion it is a beautiful video. will not eat a whole cake. Strongly recommend you to see this,inapropriate
For sure f*cking ridiculous video. do not recommend you to avoid. Makes me reflect on the good old days,inapropriate
Absolutely boring video. would recommend you to avoid.,negative evaluation
Certainly okay video. would not like to see more. Strongly advice skipping,inapropriate
A fun song. dreaming to see again. would recommend you to avoid,positive evaluation
Very relatively long video clip. Brings me back to childhood memories.,positive evaluation
In my opinion it is a gorgeous hit. do not advice skipping. makes me think of childhood memories,inapropriate
It is a gorgeous video. will not see it on television. Strongly recommend you to avoid,inapropriate
definitely decent video. Makes me reflect on childhood memories.,positive evaluation
utterly emotional ballad. cant wait to see again. Highly recommend you to avoid,inapropriate
utterly idiotic video. would advice you to skip this. Makes me reflect on a deeper meaning of life,inapropriate
It is a idiotic duet. would recommend you to avoid.,neutral
It is a relatively long duet. Brings me back to the good old days.,positive evaluation
In my opinion it is a gorgeous piece of music. urge recommend you to see this. Thinking of the question of who we are,inapropriate
A fun song. Thinking of the question of who we are.,neutral
It is a okay song. Makes me reflect on a deeper meaning of life.,neutral
It is a short song. Reminds me of childhood memories.,neutral
It is a bad hit. urge encourage you to listen.,neutral
